Edrude_ind 		 Edrude_dhf
     -0.00003498       0.00000006
     -0.00001648      -0.00000000
     -0.00000849      -0.00000001
     -0.00008270       0.00000045
     -0.00003476       0.00000006
     -0.00001642      -0.00000000
     -0.00000847      -0.00000001
     -0.00000070      -0.00000000
     -0.00013843       0.00000435
     -0.00005250       0.00000110
     -0.00002312       0.00000034
     -0.00001135       0.00000012
     -0.00000083       0.00000000
     -0.00004503      -0.00000008
     -0.00002053      -0.00000004
     -0.00001031      -0.00000002
     -0.00000080      -0.00000000
     -0.00018057      -0.00000671
     -0.00006580      -0.00000156
     -0.00002799      -0.00000046
     -0.00008090       0.00000097
     -0.00003492       0.00000034
     -0.00001672       0.00000013
     -0.00000868       0.00000006
     -0.00000072       0.00000000
     -0.00021336      -0.00001460
     -0.00007812      -0.00000319
     -0.00003326      -0.00000089
     -0.00001583      -0.00000029
     -0.00000104      -0.00000001
     -0.00008819       0.00000301
     -0.00003784       0.00000088
     -0.00001802       0.00000030
     -0.00000932       0.00000011
     -0.00000076       0.00000000
     -0.00015629      -0.00000770
     -0.00006604      -0.00000200
     -0.00003123      -0.00000063
     -0.00001610      -0.00000023
     -0.00000131      -0.00000000
     -0.00013777      -0.00000534
     -0.00005503      -0.00000117
     -0.00002510      -0.00000032
     -0.00000685      -0.00000004
     -0.00000098      -0.00000000
     -0.00011822      -0.00000493
     -0.00002197      -0.00000030
     -0.00001117      -0.00000010
     -0.00000090      -0.00000000
     -0.00017406       0.00001006
     -0.00007325       0.00000276
     -0.00003463       0.00000089
     -0.00001786       0.00000033
     -0.00000146       0.00000001
     -0.00049744      -0.00003955
     -0.00040689      -0.00002939
     -0.00009555      -0.00000333
     -0.00004065      -0.00000089
     -0.00001937      -0.00000028
     -0.00001006      -0.00000010
     -0.00000084      -0.00000000
     -0.00071489       0.00006116
     -0.00013268      -0.00000668
     -0.00005904      -0.00000191
     -0.00002895      -0.00000064
     -0.00000862      -0.00000010
     -0.00000133      -0.00000001
     -0.00007709      -0.00000199
     -0.00000090      -0.00000000
     -0.00014259      -0.00000711
     -0.00005640      -0.00000172
     -0.00002534      -0.00000051
     -0.00000091      -0.00000000
     -0.00011903      -0.00000351
     -0.00004780      -0.00000095
     -0.00002179      -0.00000031
     -0.00001093      -0.00000011
     -0.00000083      -0.00000000
     -0.00013236       0.00000580
     -0.00006123       0.00000184
     -0.00003085       0.00000066
     -0.00001665       0.00000026
     -0.00000152       0.00000001
     -0.00333695       0.00054122
     -0.00070418       0.00008006
     -0.00003270      -0.00000057
     -0.00001553      -0.00000019
     -0.00000804      -0.00000007
     -0.00000067      -0.00000000
     -0.00000512      -0.00000005
     -0.00135711      -0.00025282
     -0.00137667      -0.00025909
     -0.00131638      -0.00024119
     -0.00138011      -0.00025979
     -0.00137559      -0.00025829
     -0.00137038      -0.00025672
     -0.00135895      -0.00025336
     -0.00136323      -0.00025461
     -0.00135113      -0.00025110
     -0.00134899      -0.00025048
     -0.00134790      -0.00025017
     -0.00135420      -0.00025198
     -0.00134334      -0.00024886
     -0.00811490      -0.00269327
     -0.00361214      -0.00105176
     -0.00262004      -0.00067434
     -0.00191684      -0.00042718
     -0.00141788      -0.00027103
     -0.00127948      -0.00023162
     -0.00124282      -0.00022151
     -0.00113987      -0.00019392
     -0.00092274      -0.00013991
     -0.00061716      -0.00007501
     -0.00042352      -0.00004193
     -0.00014078      -0.00000780
     -0.00023777      -0.00001731
